"","FILE","MODEL","RECYCLE","TOL","pLDDT","pTM","piTM","iScore","iRes","iCnt","NUM_CLUSTERS","N_MONOMERS","FILE_RECYCLE","RANK","V1","Entry.Name","Gene.Names","Gene.Names..primary.","Gene.Names..synonym.","Organism","Organism..ID.","Protein.names","Proteomes","Taxonomic.lineage"
"11","MYD88_A2AHG0_x1",3,"model_3_multimer_v3_p1_230426_383091_recycled_01",95.05,48.65,0.2584,0.2374,0.0598,120,198,1,2,"MYD88_A2AHG0_x1_3_model_3_multimer_v3_p1_230426_383091_recycled_01",1,"A2AHG0","LZTS3_MOUSE","Lzts3 Prosapip1","Lzts3","Prosapip1","Mus musculus (Mouse)",10090,"Leucine zipper putative tumor suppressor 3 (ProSAP-interacting protein 1) (ProSAPiP1)","UP000000589: Chromosome 2","Mus (subgenus), Mus (genus), Murinae (subfamily), Muridae (family), Muroidea (no rank), Myomorpha (suborder), Rodentia (order), Glires (no rank), Euarchontoglires (superorder), Boreoeutheria (no rank), Eutheria (no rank), Theria (no rank), Mammalia (class), Amniota (no rank), Tetrapoda (no rank), Dipnotetrapodomorpha (no rank), Sarcopterygii (superclass), Euteleostomi (no rank), Teleostomi (no rank), Gnathostomata (no rank), Vertebrata (no rank), Craniata (subphylum), Chordata (phylum), Deuterostomia (no rank), Bilateria (no rank), Eumetazoa (no rank), Metazoa (kingdom), Opisthokonta (no rank), Eukaryota (superkingdom), cellular organisms (no rank)"
"12","MYD88_A2AI08_x1",2,"model_2_multimer_v3_p1_230424_392734_recycled_01",68.8,39.56,0.2601,0.4183,0.1135,131,280,1,2,"MYD88_A2AI08_x1_2_model_2_multimer_v3_p1_230424_392734_recycled_01",1,"A2AI08","TPRN_MOUSE","Tprn","Tprn",NA,"Mus musculus (Mouse)",10090,"Taperin","UP000000589: Chromosome 2","Mus (subgenus), Mus (genus), Murinae (subfamily), Muridae (family), Muroidea (no rank), Myomorpha (suborder), Rodentia (order), Glires (no rank), Euarchontoglires (superorder), Boreoeutheria (no rank), Eutheria (no rank), Theria (no rank), Mammalia (class), Amniota (no rank), Tetrapoda (no rank), Dipnotetrapodomorpha (no rank), Sarcopterygii (superclass), Euteleostomi (no rank), Teleostomi (no rank), Gnathostomata (no rank), Vertebrata (no rank), Craniata (subphylum), Chordata (phylum), Deuterostomia (no rank), Bilateria (no rank), Eumetazoa (no rank), Metazoa (kingdom), Opisthokonta (no rank), Eukaryota (superkingdom), cellular organisms (no rank)"
"13","MYD88_A2AIV2_x1",4,"model_4_multimer_v3_p1_230426_530236_recycled_09",3.97,65.45,0.6336,0.3494,0.2214,50,39,1,2,"MYD88_A2AIV2_x1_4_model_4_multimer_v3_p1_230426_530236_recycled_09",1,"A2AIV2","VIR_MOUSE","Virma Kiaa1429","Virma","Kiaa1429","Mus musculus (Mouse)",10090,"Protein virilizer homolog","UP000000589: Chromosome 4","Mus (subgenus), Mus (genus), Murinae (subfamily), Muridae (family), Muroidea (no rank), Myomorpha (suborder), Rodentia (order), Glires (no rank), Euarchontoglires (superorder), Boreoeutheria (no rank), Eutheria (no rank), Theria (no rank), Mammalia (class), Amniota (no rank), Tetrapoda (no rank), Dipnotetrapodomorpha (no rank), Sarcopterygii (superclass), Euteleostomi (no rank), Teleostomi (no rank), Gnathostomata (no rank), Vertebrata (no rank), Craniata (subphylum), Chordata (phylum), Deuterostomia (no rank), Bilateria (no rank), Eumetazoa (no rank), Metazoa (kingdom), Opisthokonta (no rank), Eukaryota (superkingdom), cellular organisms (no rank)"
"14","MYD88_A2AJI0_x1",2,"model_2_multimer_v3_p1_230425_742270_recycled_05",9.32,45.52,0.2531,0.3837,0.0476,79,127,1,2,"MYD88_A2AJI0_x1_2_model_2_multimer_v3_p1_230425_742270_recycled_05",1,"A2AJI0","MA7D1_MOUSE","Map7d1 Kiaa1187 Mtap7d1","Map7d1","Kiaa1187 Mtap7d1","Mus musculus (Mouse)",10090,"MAP7 domain-containing protein 1","UP000000589: Chromosome 4","Mus (subgenus), Mus (genus), Murinae (subfamily), Muridae (family), Muroidea (no rank), Myomorpha (suborder), Rodentia (order), Glires (no rank), Euarchontoglires (superorder), Boreoeutheria (no rank), Eutheria (no rank), Theria (no rank), Mammalia (class), Amniota (no rank), Tetrapoda (no rank), Dipnotetrapodomorpha (no rank), Sarcopterygii (superclass), Euteleostomi (no rank), Teleostomi (no rank), Gnathostomata (no rank), Vertebrata (no rank), Craniata (subphylum), Chordata (phylum), Deuterostomia (no rank), Bilateria (no rank), Eumetazoa (no rank), Metazoa (kingdom), Opisthokonta (no rank), Eukaryota (superkingdom), cellular organisms (no rank)"
"15","MYD88_A2AKG8_x1",5,"model_5_multimer_v3_p1_230424_926138_recycled_00",9999,78.01,0.6189,0.406,0.0575,158,387,2,2,"MYD88_A2AKG8_x1_5_model_5_multimer_v3_p1_230424_926138_recycled_00",1,"A2AKG8","FOCAD_MOUSE","Focad Kiaa1797","Focad","Kiaa1797","Mus musculus (Mouse)",10090,"Focadhesin","UP000000589: Chromosome 4","Mus (subgenus), Mus (genus), Murinae (subfamily), Muridae (family), Muroidea (no rank), Myomorpha (suborder), Rodentia (order), Glires (no rank), Euarchontoglires (superorder), Boreoeutheria (no rank), Eutheria (no rank), Theria (no rank), Mammalia (class), Amniota (no rank), Tetrapoda (no rank), Dipnotetrapodomorpha (no rank), Sarcopterygii (superclass), Euteleostomi (no rank), Teleostomi (no rank), Gnathostomata (no rank), Vertebrata (no rank), Craniata (subphylum), Chordata (phylum), Deuterostomia (no rank), Bilateria (no rank), Eumetazoa (no rank), Metazoa (kingdom), Opisthokonta (no rank), Eukaryota (superkingdom), cellular organisms (no rank)"
"16","MYD88_A2AKX3_x1",5,"model_5_multimer_v3_p1_230426_450004_recycled_03",21.82,48.22,0.454,0.3697,0.1798,51,61,1,2,"MYD88_A2AKX3_x1_5_model_5_multimer_v3_p1_230426_450004_recycled_03",1,"A2AKX3","SETX_MOUSE","Setx Als4 Kiaa0625","Setx","Als4 Kiaa0625","Mus musculus (Mouse)",10090,"Probable helicase senataxin (EC 3.6.4.-) (Amyotrophic lateral sclerosis 4 protein homolog) (SEN1 homolog)","UP000000589: Chromosome 2","Mus (subgenus), Mus (genus), Murinae (subfamily), Muridae (family), Muroidea (no rank), Myomorpha (suborder), Rodentia (order), Glires (no rank), Euarchontoglires (superorder), Boreoeutheria (no rank), Eutheria (no rank), Theria (no rank), Mammalia (class), Amniota (no rank), Tetrapoda (no rank), Dipnotetrapodomorpha (no rank), Sarcopterygii (superclass), Euteleostomi (no rank), Teleostomi (no rank), Gnathostomata (no rank), Vertebrata (no rank), Craniata (subphylum), Chordata (phylum), Deuterostomia (no rank), Bilateria (no rank), Eumetazoa (no rank), Metazoa (kingdom), Opisthokonta (no rank), Eukaryota (superkingdom), cellular organisms (no rank)"
"17","MYD88_A2AL36_x1",4,"model_4_multimer_v3_p1_230426_118224_recycled_01",83.66,39.38,0.2647,0.4102,0.2398,216,394,1,2,"MYD88_A2AL36_x1_4_model_4_multimer_v3_p1_230426_118224_recycled_01",1,"A2AL36","CNTRL_MOUSE","Cntrl Cep1 Cep110","Cntrl","Cep1 Cep110","Mus musculus (Mouse)",10090,"Centriolin (Centrosomal protein 1) (Centrosomal protein of 110 kDa) (Cep110)","UP000000589: Chromosome 2","Mus (subgenus), Mus (genus), Murinae (subfamily), Muridae (family), Muroidea (no rank), Myomorpha (suborder), Rodentia (order), Glires (no rank), Euarchontoglires (superorder), Boreoeutheria (no rank), Eutheria (no rank), Theria (no rank), Mammalia (class), Amniota (no rank), Tetrapoda (no rank), Dipnotetrapodomorpha (no rank), Sarcopterygii (superclass), Euteleostomi (no rank), Teleostomi (no rank), Gnathostomata (no rank), Vertebrata (no rank), Craniata (subphylum), Chordata (phylum), Deuterostomia (no rank), Bilateria (no rank), Eumetazoa (no rank), Metazoa (kingdom), Opisthokonta (no rank), Eukaryota (superkingdom), cellular organisms (no rank)"
"18","MYD88_A2AQ19_x1",1,"model_1_multimer_v3_p1_230425_716640_recycled_02",14.03,54.52,0.2697,0.5266,0.0837,62,102,1,2,"MYD88_A2AQ19_x1_1_model_1_multimer_v3_p1_230425_716640_recycled_02",1,"A2AQ19","RTF1_MOUSE","Rtf1","Rtf1",NA,"Mus musculus (Mouse)",10090,"RNA polymerase-associated protein RTF1 homolog","UP000000589: Chromosome 2","Mus (subgenus), Mus (genus), Murinae (subfamily), Muridae (family), Muroidea (no rank), Myomorpha (suborder), Rodentia (order), Glires (no rank), Euarchontoglires (superorder), Boreoeutheria (no rank), Eutheria (no rank), Theria (no rank), Mammalia (class), Amniota (no rank), Tetrapoda (no rank), Dipnotetrapodomorpha (no rank), Sarcopterygii (superclass), Euteleostomi (no rank), Teleostomi (no rank), Gnathostomata (no rank), Vertebrata (no rank), Craniata (subphylum), Chordata (phylum), Deuterostomia (no rank), Bilateria (no rank), Eumetazoa (no rank), Metazoa (kingdom), Opisthokonta (no rank), Eukaryota (superkingdom), cellular organisms (no rank)"
"19","MYD88_A2AR02_x1",1,"model_1_multimer_v3_p1_230424_527071_recycled_00",9999,42.83,0.3624,0.4381,0.2898,70,98,1,2,"MYD88_A2AR02_x1_1_model_1_multimer_v3_p1_230424_527071_recycled_00",1,"A2AR02","PPIG_MOUSE","Ppig","Ppig",NA,"Mus musculus (Mouse)",10090,"Peptidyl-prolyl cis-trans isomerase G (PPIase G) (Peptidyl-prolyl isomerase G) (EC 5.2.1.8) (Cyclophilin G) (Rotamase G)","UP000000589: Chromosome 2","Mus (subgenus), Mus (genus), Murinae (subfamily), Muridae (family), Muroidea (no rank), Myomorpha (suborder), Rodentia (order), Glires (no rank), Euarchontoglires (superorder), Boreoeutheria (no rank), Eutheria (no rank), Theria (no rank), Mammalia (class), Amniota (no rank), Tetrapoda (no rank), Dipnotetrapodomorpha (no rank), Sarcopterygii (superclass), Euteleostomi (no rank), Teleostomi (no rank), Gnathostomata (no rank), Vertebrata (no rank), Craniata (subphylum), Chordata (phylum), Deuterostomia (no rank), Bilateria (no rank), Eumetazoa (no rank), Metazoa (kingdom), Opisthokonta (no rank), Eukaryota (superkingdom), cellular organisms (no rank)"
"20","MYD88_A2ARP1_x1",5,"model_5_multimer_v3_p1_230426_184099_recycled_03",10.33,59.16,0.464,0.3394,0.1705,67,81,1,2,"MYD88_A2ARP1_x1_5_model_5_multimer_v3_p1_230426_184099_recycled_03",1,"A2ARP1","VIP1_MOUSE","Ppip5k1 Hisppd2a Kiaa0377 Vip1","Ppip5k1","Hisppd2a Kiaa0377 Vip1","Mus musculus (Mouse)",10090,"Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 1 (EC 2.7.4.24) (Diphosphoinositol pentakisphosphate kinase 1) (Histidine acid phosphatase domain-containing protein 2A) (InsP6 and PP-IP5 kinase 1) (VIP1 homolog)","UP000000589: Chromosome 2","Mus (subgenus), Mus (genus), Murinae (subfamily), Muridae (family), Muroidea (no rank), Myomorpha (suborder), Rodentia (order), Glires (no rank), Euarchontoglires (superorder), Boreoeutheria (no rank), Eutheria (no rank), Theria (no rank), Mammalia (class), Amniota (no rank), Tetrapoda (no rank), Dipnotetrapodomorpha (no rank), Sarcopterygii (superclass), Euteleostomi (no rank), Teleostomi (no rank), Gnathostomata (no rank), Vertebrata (no rank), Craniata (subphylum), Chordata (phylum), Deuterostomia (no rank), Bilateria (no rank), Eumetazoa (no rank), Metazoa (kingdom), Opisthokonta (no rank), Eukaryota (superkingdom), cellular organisms (no rank)"
"21","MYD88_A2AT37_x1",1,"model_1_multimer_v3_p1_230425_407754_recycled_00",9999,66.52,0.3914,0.4459,0.2785,147,223,1,2,"MYD88_A2AT37_x1_1_model_1_multimer_v3_p1_230425_407754_recycled_00",1,"A2AT37","RENT2_MOUSE","Upf2 RENT2","Upf2","RENT2","Mus musculus (Mouse)",10090,"Regulator of nonsense transcripts 2 (Up-frameshift suppressor 2 homolog) (Upf2)","UP000000589: Chromosome 2","Mus (subgenus), Mus (genus), Murinae (subfamily), Muridae (family), Muroidea (no rank), Myomorpha (suborder), Rodentia (order), Glires (no rank), Euarchontoglires (superorder), Boreoeutheria (no rank), Eutheria (no rank), Theria (no rank), Mammalia (class), Amniota (no rank), Tetrapoda (no rank), Dipnotetrapodomorpha (no rank), Sarcopterygii (superclass), Euteleostomi (no rank), Teleostomi (no rank), Gnathostomata (no rank), Vertebrata (no rank), Craniata (subphylum), Chordata (phylum), Deuterostomia (no rank), Bilateria (no rank), Eumetazoa (no rank), Metazoa (kingdom), Opisthokonta (no rank), Eukaryota (superkingdom), cellular organisms (no rank)"
"22","MYD88_A2AWL7_x1",3,"model_3_multimer_v3_p1_230426_104665_recycled_10",23.36,28.57,0.2912,0.5725,0.3929,121,178,1,2,"MYD88_A2AWL7_x1_3_model_3_multimer_v3_p1_230426_104665_recycled_10",1,"A2AWL7","MGAP_MOUSE","Mga Kiaa4252","Mga","Kiaa4252","Mus musculus (Mouse)",10090,"MAX gene-associated protein","UP000000589: Chromosome 2","Mus (subgenus), Mus (genus), Murinae (subfamily), Muridae (family), Muroidea (no rank), Myomorpha (suborder), Rodentia (order), Glires (no rank), Euarchontoglires (superorder), Boreoeutheria (no rank), Eutheria (no rank), Theria (no rank), Mammalia (class), Amniota (no rank), Tetrapoda (no rank), Dipnotetrapodomorpha (no rank), Sarcopterygii (superclass), Euteleostomi (no rank), Teleostomi (no rank), Gnathostomata (no rank), Vertebrata (no rank), Craniata (subphylum), Chordata (phylum), Deuterostomia (no rank), Bilateria (no rank), Eumetazoa (no rank), Metazoa (kingdom), Opisthokonta (no rank), Eukaryota (superkingdom), cellular organisms (no rank)"
"23","MYD88_A2BE28_x1",2,"model_2_multimer_v3_p1_230424_423937_recycled_00",9999,52.87,0.3345,0.6084,0.2855,83,144,1,2,"MYD88_A2BE28_x1_2_model_2_multimer_v3_p1_230424_423937_recycled_00",1,"A2BE28","LAS1L_MOUSE","Las1l","Las1l",NA,"Mus musculus (Mouse)",10090,"Ribosomal biogenesis protein LAS1L (Protein LAS1 homolog)","UP000000589: Chromosome X","Mus (subgenus), Mus (genus), Murinae (subfamily), Muridae (family), Muroidea (no rank), Myomorpha (suborder), Rodentia (order), Glires (no rank), Euarchontoglires (superorder), Boreoeutheria (no rank), Eutheria (no rank), Theria (no rank), Mammalia (class), Amniota (no rank), Tetrapoda (no rank), Dipnotetrapodomorpha (no rank), Sarcopterygii (superclass), Euteleostomi (no rank), Teleostomi (no rank), Gnathostomata (no rank), Vertebrata (no rank), Craniata (subphylum), Chordata (phylum), Deuterostomia (no rank), Bilateria (no rank), Eumetazoa (no rank), Metazoa (kingdom), Opisthokonta (no rank), Eukaryota (superkingdom), cellular organisms (no rank)"
"24","MYD88_A2RSY6_x1",5,"model_5_multimer_v3_p1_230426_074505_recycled_00",9999,58.14,0.4985,0.2308,0.1025,178,389,1,2,"MYD88_A2RSY6_x1_5_model_5_multimer_v3_p1_230426_074505_recycled_00",1,"A2RSY6","TRM1L_MOUSE","Trmt1l","Trmt1l",NA,"Mus musculus (Mouse)",10090,"TRMT1-like protein (EC 2.1.1.-)","UP000000589: Unplaced","Mus (subgenus), Mus (genus), Murinae (subfamily), Muridae (family), Muroidea (no rank), Myomorpha (suborder), Rodentia (order), Glires (no rank), Euarchontoglires (superorder), Boreoeutheria (no rank), Eutheria (no rank), Theria (no rank), Mammalia (class), Amniota (no rank), Tetrapoda (no rank), Dipnotetrapodomorpha (no rank), Sarcopterygii (superclass), Euteleostomi (no rank), Teleostomi (no rank), Gnathostomata (no rank), Vertebrata (no rank), Craniata (subphylum), Chordata (phylum), Deuterostomia (no rank), Bilateria (no rank), Eumetazoa (no rank), Metazoa (kingdom), Opisthokonta (no rank), Eukaryota (superkingdom), cellular organisms (no rank)"
