Significant,-LOG(P-value),Difference,T:.Protein.IDs,T:.Majority.protein.IDs,T:.Protein.names,T:.Gene.names,Symbol.color,Symbol.type,Symbol.size,Show.label,C:.Only.identified.by.site,C:.Reverse,C:.Potential.contami1000t,N:.Peptides,N:.Mol..weight.[kDa],N:.Valid.values,N:.Valid.values.15.min,N:.Valid.values.30.min,N:.Valid.values.60.min,N:.Valid.values.unstim,15.min.FG.167.neu,15.min.FG.168.neu,15.min.FG.169.neu,15.min.FG.170.neu,30.min.FG171.neu,30.min.FG172.neu,30.min.FG173.neu,30.min.FG174.neu,60.min.FG175.neu,60.min.FG176.neu,60.min.FG177.neu,60.min.FG178.neu,unstim.FG163.neu,unstim.FG164.neu,unstim.FG165.neu,unstim.FG166.neu,ORIGIN,PULLED_PROTEIN,KO
TRUE,1.29870717049431,4.73976492881775,P23475,P23475,X-ray repair cross-complementing protein 6,Xrcc6,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,NA,4,69.483,14,4,4,4,2,12.5738687515259,11.9618692398071,12.2518692016602,12.9913692474365,14.7802686691284,14.4906692504883,15.7145681381226,15.769868850708,14.7741689682007,15.2434682846069,14.5205688476563,15.6321687698364,7.5761890411377,NA,13.029468536377,NA,60,MYD88,IRAK1
TRUE,3.41278907020721,1.90434185663859,P24288,P24288,"Branched-chain-amino-acid aminotransferase, cytosolic",Bcat1,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,NA,2,42.791,12,3,4,3,2,8.8596887588501,11.5637683868408,12.7354688644409,NA,11.707368850708,11.0247688293457,11.6777687072754,11.3139686584473,11.0466690063477,11.0374689102173,NA,11.2858686447144,NA,9.24666881561279,9.19131851196289,NA,60,MYD88,IRAK1
TRUE,3.21298444517197,2.60155010223389,P27641,P27641,X-ray repair cross-complementing protein 5,Xrcc5,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,NA,8,83.056,16,4,4,4,4,12.6012687683105,13.0286684036255,13.3451690673828,13.6368684768677,15.0765686035156,15.132568359375,15.050968170166,15.6708688735962,15.4813690185547,15.3547687530518,14.6997690200806,15.9566688537598,11.8731689453125,13.164568901062,12.9728689193726,13.0757684707642,60,MYD88,IRAK1
TRUE,1.74888220170849,2.75752329826355,P46062,P46062,Signal-induced proliferation-associated protein 1,Sipa1,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,NA,7,112.06,15,4,4,4,3,13.2091684341431,14.8106689453125,15.2289686203003,15.4617681503296,13.3075685501099,12.9485683441162,14.0202684402466,14.184868812561,12.9489688873291,12.9012689590454,11.8632688522339,12.7329683303833,9.32576847076416,11.5705690383911,NA,8.66594886779785,60,MYD88,IRAK1
TRUE,3.42941346319361,3.52379965782166,P49813;Q9JLH8,P49813,Tropomodulin-1,Tmod1,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,NA,10,40.466,16,4,4,4,4,17.8747692108154,18.3449687957764,17.9002685546875,17.2362689971924,17.7574691772461,17.4548683166504,17.4214687347412,17.3057689666748,18.3276691436768,17.5749683380127,17.2900676727295,18.0189685821533,13.6959686279297,14.0787687301636,13.7833690643311,15.5583686828613,60,MYD88,IRAK1
TRUE,2.26716756324844,2.44582557678223,P53349,P53349,Mitogen-activated protein kinase kinase kinase 1,Map3k1,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,NA,11,161.29,16,4,4,4,4,15.2414684295654,15.2044687271118,16.1525688171387,15.7185688018799,13.39146900177,13.1232690811157,13.3512687683105,13.6356687545776,12.8900690078735,14.0902690887451,13.2952690124512,14.0903692245483,10.2302684783936,10.9495687484741,10.8615684509277,12.5412683486938,60,MYD88,IRAK1
TRUE,3.7400236590447,3.23445789019267,P53564;P70403,P53564,Homeobox protein cut-like 1,Cux1,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,NA,10,165.59,15,4,4,4,3,10.0485687255859,10.1638689041138,10.3094692230225,9.80684852600098,13.6362686157227,14.2843685150146,12.2450685501099,14.5089683532715,14.8178682327271,14.4636688232422,14.1730690002441,14.716968536377,10.6462688446045,11.7223691940308,11.5566692352295,NA,60,MYD88,IRAK1
TRUE,2.18036025397946,2.01977467536926,P57780,P57780,Alpha-actinin-4,Actn4,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,NA,41,104.98,16,4,4,4,4,18.7142696380615,19.6660690307617,20.0241680145264,19.7324695587158,18.2199687957764,17.8452682495117,17.3085689544678,17.6958694458008,18.1286678314209,17.8683681488037,17.2819690704346,17.4472694396973,14.5119686126709,16.0149688720703,15.4490690231323,16.6711692810059,60,MYD88,IRAK1
TRUE,1.89711059127531,-2.19609983762105,P63330;P62715,P63330;P62715,Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform;Serine/threonine-protein phosphatase 2A catalytic subunit beta isoform,Ppp2ca;Ppp2cb,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,NA,6,35.608,14,4,3,3,4,15.0922689437866,16.2007694244385,16.2644691467285,15.5478687286377,14.9903688430786,16.0938682556152,NA,14.8471689224243,13.0594692230225,12.7305688858032,12.8321685791016,NA,14.2582683563232,14.2285690307617,16.0928688049316,15.7009687423706,60,MYD88,IRAK1
TRUE,2.2590639401585,2.04917478561401,P97434,P97434,Myosin phosphatase Rho-interacting protein,Mprip,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,NA,52,116.41,16,4,4,4,4,20.3711681365967,20.66796875,20.9780693054199,20.8134689331055,20.2560691833496,20.0546684265137,19.9347686767578,20.1214694976807,20.1736679077148,19.7656688690186,19.5117683410645,19.8979682922363,16.4904689788818,18.0671691894531,17.9040679931641,18.6906681060791,60,MYD88,IRAK1
TRUE,2.08133373388001,-3.10525751113892,Q3TIV5,Q3TIV5,Zinc finger CCCH domain-containing protein 15,Zc3h15,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,NA,4,48.327,16,4,4,4,4,14.6921682357788,15.8832683563232,15.0337686538696,16.6307678222656,14.2331686019897,14.4253692626953,15.638768196106,10.670768737793,12.3462686538696,11.0385684967041,10.0301389694214,13.5049686431885,14.6722688674927,15.2025690078735,14.1600685119629,15.3060684204102,60,MYD88,IRAK1
TRUE,3.21503710044694,1.9488251209259,Q4VAC9,Q4VAC9,Pleckstrin homology domain-containing family G member 3,Plekhg3,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,NA,17,148.52,16,4,4,4,4,16.1231689453125,16.4686679840088,16.9775676727295,16.9031677246094,15.278468132019,14.6435689926147,14.8510684967041,15.3276681900024,14.2860689163208,14.2633686065674,13.8149690628052,13.9341688156128,12.0413684844971,11.3850688934326,12.5590686798096,12.5177688598633,60,MYD88,IRAK1
TRUE,2.6831971763185,-2.33014988899231,Q571H0,Q571H0,Nucleolar pre-ribosomal-associated protein 1,Urb1,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,NA,24,254.61,16,4,4,4,4,13.5577688217163,14.2872686386108,14.2475690841675,13.371169090271,12.2798690795898,13.8484687805176,12.1517686843872,14.0190687179565,11.6302690505981,10.9621686935425,12.3042688369751,12.5784692764282,14.436469078064,14.6524686813354,14.2802686691284,13.4265689849854,60,MYD88,IRAK1
TRUE,2.21644495915187,2.27782487869263,Q5SW75,Q5SW75,Protein phosphatase Slingshot homolog 2,Ssh2,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,NA,16,158.23,16,4,4,4,4,15.221568107605,15.7214689254761,16.1475677490234,15.9187688827515,13.9581689834595,14.6943683624268,13.6301689147949,14.1188688278198,14.5808687210083,13.7172689437866,13.8691692352295,14.3959684371948,10.9870691299438,12.9910688400269,12.4608688354492,11.0129690170288,60,MYD88,IRAK1
TRUE,2.1421513527827,2.15325021743774,Q60605,Q60605,Myosin light polypeptide 6,Myl6,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,NA,7,16.93,16,4,4,4,4,23.5860691070557,23.968469619751,23.3688678741455,22.3385696411133,23.1947689056396,22.515869140625,23.1096687316895,23.0745697021484,22.6522693634033,22.2152690887451,22.6549682617188,23.4745693206787,19.5897693634033,20.2105693817139,20.7734680175781,21.8102684020996,60,MYD88,IRAK1
TRUE,4.38960296269249,-2.25857520103455,Q60972,Q60972,Histone-binding protein RBBP4,Rbbp4,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,NA,10,47.655,16,4,4,4,4,15.9442682266235,16.295768737793,16.6046676635742,15.6181688308716,15.3783683776855,15.7739686965942,14.4575691223145,15.4144687652588,14.1952686309814,13.3474683761597,13.7393684387207,14.1017684936523,15.9892683029175,16.3390693664551,16.1416683197021,15.9481687545776,60,MYD88,IRAK1
TRUE,1.83656887197192,2.69272494316101,Q61074,Q61074,Protein phosphatase 1G,Ppm1g,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,NA,2,58.727,12,4,2,2,4,13.3293685913086,14.0096683502197,16.6088676452637,11.9994688034058,15.3244686126709,11.8140687942505,NA,NA,13.9538688659668,13.9504690170288,NA,NA,11.0787687301636,11.3003692626953,10.2733688354492,12.3852691650391,60,MYD88,IRAK1
TRUE,3.64238879018586,4.64002513885498,Q61411;P32883;P08556,Q61411;P32883;P08556,"GTPase HRas;GTPase HRas, N-terminally processed;GTPase KRas;GTPase KRas, N-terminally processed;GTPase NRas",Hras;Kras;Nras,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,NA,6,21.298,16,4,4,4,4,17.2668685913086,16.6191692352295,17.6660690307617,17.0760688781738,17.16676902771,19.7046680450439,19.5693683624268,17.2843685150146,20.5083694458008,20.6116695404053,18.4608688354492,20.1314678192139,14.3380689620972,15.5872688293457,15.5735683441162,15.6533689498901,60,MYD88,IRAK1
TRUE,1.53608590692594,-4.80617523193359,Q69Z38,Q69Z38,Pseudopodium-enriched atypical kinase 1,Peak1,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,NA,13,191.09,16,4,4,4,4,17.5800685882568,19.5572681427002,18.9714679718018,18.1036682128906,18.1999683380127,18.841968536377,12.9867687225342,12.4203691482544,12.517068862915,10.4884691238403,10.9663686752319,17.6178684234619,16.5363693237305,17.8591690063477,17.8789691925049,18.5399684906006,60,MYD88,IRAK1
TRUE,2.79139758618509,2.05467510223389,Q6A0D4,Q6A0D4,Raftlin,Rftn1,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,NA,6,61.536,16,4,4,4,4,14.7376689910889,15.4535684585571,14.8109683990479,15.5014686584473,15.2496681213379,15.1161689758301,15.6465682983398,15.9523687362671,15.0941686630249,15.1834688186646,14.2346687316895,15.1308689117432,12.187668800354,13.5394687652588,12.540168762207,13.1571683883667,60,MYD88,IRAK1
TRUE,2.471859082302,3.09719967842102,Q6IRU2,Q6IRU2,Tropomyosin alpha-4 chain,Tpm4,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,NA,9,28.467,16,4,4,4,4,17.3151683807373,17.5410690307617,18.5232677459717,16.4424686431885,17.8076686859131,17.2719688415527,17.3103694915771,17.2107677459717,19.3071689605713,18.5434684753418,17.1642684936523,18.9581680297852,15.9045686721802,16.1725692749023,14.0800685882568,15.4270687103271,60,MYD88,IRAK1
TRUE,3.17058615880844,1.85777473449707,Q6R891,Q6R891,Neurabin-2,Ppp1r9b,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,NA,17,89.519,16,4,4,4,4,19.738468170166,19.8232688903809,20.818868637085,20.4977684020996,18.6954689025879,18.6498680114746,18.5519676208496,18.1865692138672,18.138069152832,17.5661678314209,17.5985679626465,17.3480682373047,15.0991687774658,15.9991683959961,16.0504684448242,16.0709686279297,60,MYD88,IRAK1
TRUE,2.8244534193283,2.62632513046265,Q6URW6,Q6URW6,Myosin-14,Myh14,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,NA,14,228.58,16,4,4,4,4,19.3683681488037,19.725269317627,20.2377681732178,19.743968963623,20.5338687896729,17.5560684204102,19.4615688323975,20.5066680908203,20.322868347168,19.8146686553955,19.7522678375244,19.9169692993164,16.0719680786133,17.4824676513672,17.4671688079834,18.2798690795898,60,MYD88,IRAK1
TRUE,1.96684152346222,2.15097498893738,Q6ZQ38,Q6ZQ38,Cullin-associated NEDD8-dissociated protein 1,Cand1,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,NA,5,136.33,16,4,4,4,4,16.5593681335449,13.2728691101074,17.2207679748535,16.771068572998,16.1367683410645,16.9959678649902,15.5957689285278,16.5718688964844,15.671368598938,15.2515687942505,15.5296688079834,16.075569152832,12.1815690994263,13.2650690078735,13.5511684417725,14.9264688491821,60,MYD88,IRAK1
TRUE,2.636601254091,2.4362998008728,Q76I79,Q76I79,Protein phosphatase Slingshot homolog 1,Ssh1,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,NA,12,115.3,16,4,4,4,4,15.5745687484741,15.6831684112549,16.2717685699463,16.2231693267822,14.6610689163208,14.780068397522,13.9724683761597,14.3932685852051,14.4820690155029,14.6743688583374,13.5680685043335,14.0391683578491,11.0446691513062,11.5822687149048,11.4445686340332,12.9469690322876,60,MYD88,IRAK1
TRUE,2.35493455391085,-2.16147470474243,Q7TMY4,Q7TMY4,THO complex subunit 7 homolog,Thoc7,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,NA,4,23.715,16,4,4,4,4,14.1450691223145,14.091968536377,14.3067684173584,13.7601690292358,14.4445686340332,14.9900684356689,13.578369140625,13.2014684677124,11.493968963623,10.9827690124512,12.8328685760498,12.5298690795898,13.8743686676025,13.6312685012817,14.3818683624268,14.5978689193726,60,MYD88,IRAK1
TRUE,1.62846443746287,2.63214993476868,Q80U72,Q80U72,Protein scribble homolog,Scrib,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,NA,9,174.06,16,4,4,4,4,14.2769689559937,14.573468208313,14.7376689910889,14.3102684020996,13.646068572998,13.3865690231323,13.5979690551758,13.6859683990479,13.6311683654785,13.5500688552856,13.0778684616089,13.1908683776855,8.53326892852783,11.0764684677124,10.591968536377,12.7196683883667,60,MYD88,IRAK1
TRUE,2.01878796882454,6.32697534561157,Q8BFZ3,Q8BFZ3,Beta-actin-like protein 2,Actbl2,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,NA,10,42.004,16,4,4,4,4,24.7353687286377,25.0927696228027,25.279468536377,25.0981693267822,25.0369682312012,25.151668548584,21.0292682647705,25.4046688079834,25.1622695922852,24.488468170166,24.3347682952881,24.4717693328857,15.6595687866211,16.9334678649902,23.2097682952881,17.3465690612793,60,MYD88,IRAK1
TRUE,4.41628622919224,2.0855495929718,Q8BG67;Q6ZQ18,Q8BG67,Protein EFR3 homolog A,Efr3a,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,NA,13,92.612,16,4,4,4,4,15.851469039917,16.4869689941406,15.9195690155029,16.9025688171387,15.5150690078735,15.6732683181763,14.7546682357788,16.2798690795898,15.2521686553955,14.7555685043335,14.9496688842773,15.5091686248779,12.9273691177368,13.3008689880371,12.8388690948486,13.0572690963745,60,MYD88,IRAK1
TRUE,2.79488506248801,2.20139137903849,Q8BGE7,Q8BGE7,Tripartite motif-containing protein 6,Trim6,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,NA,1,56.152,15,4,4,4,3,13.9796686172485,14.8068685531616,14.9808683395386,14.4982690811157,14.0161685943604,13.9120683670044,14.5570688247681,14.4098691940308,13.3587684631348,13.0318689346313,13.1323690414429,13.3109683990479,10.3473691940308,10.9122686386108,11.7616691589355,NA,60,MYD88,IRAK1
TRUE,1.46873419147574,-2.96527481079102,Q8BHJ9,Q8BHJ9,Pre-mRNA-splicing factor SLU7,Slu7,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,NA,3,68.079,14,4,4,2,4,13.8881683349609,14.6729688644409,15.1276683807373,13.1778688430786,13.4716691970825,14.0658683776855,11.7915687561035,11.8218688964844,NA,NA,10.6032686233521,11.4012689590454,12.3610687255859,13.7788686752319,14.6081686019897,15.1220684051514,60,MYD88,IRAK1
TRUE,2.36576660165827,-2.07997465133667,Q8BP92,Q8BP92,Reticulocalbin-2,Rcn2,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,NA,10,37.27,16,4,4,4,4,16.2477684020996,18.2919692993164,17.517068862915,16.0508689880371,17.1542682647705,16.0074691772461,14.9464683532715,14.5974683761597,14.4287691116333,13.6751689910889,13.1160688400269,14.3302688598633,15.3378686904907,15.8104686737061,15.7459688186646,16.9758682250977,60,MYD88,IRAK1
TRUE,1.79077803761721,-2.39629983901978,Q8BWQ4,Q8BWQ4,Cap-specific mRNA (nucleoside-2-O-)-methyltransferase 2,Cmtr2,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,NA,5,87.142,12,4,2,2,4,10.9146690368652,12.0983686447144,11.0321683883667,12.8190689086914,11.8065690994263,NA,NA,19.8448696136475,10.329568862915,10.2761688232422,NA,NA,11.6559686660767,13.5778684616089,12.9279689788818,12.6348686218262,60,MYD88,IRAK1
TRUE,2.70652867872857,2.46296739578247,Q8C7U1,Q8C7U1,NEDD4-binding protein 3,N4bp3,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,NA,6,60.042,16,4,4,4,4,14.8094682693481,15.1644687652588,15.4514684677124,15.4996681213379,13.6654691696167,13.2933683395386,13.8704690933228,13.9943685531616,13.1259689331055,12.6334686279297,12.7956686019897,13.1721687316895,9.1457691192627,11.0603685379028,11.0522689819336,10.6169986724854,60,MYD88,IRAK1
TRUE,1.76945660915202,-3.22969158490499,Q8CDM1,Q8CDM1,ATPase family AAA domain-containing protein 2,Atad2,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,NA,14,117.94,15,4,4,3,4,11.7002687454224,13.8431692123413,14.6284685134888,12.0768690109253,13.29416847229,16.1242694854736,10.6050386428833,15.2089681625366,10.545768737793,NA,12.4293689727783,12.933669090271,15.9489688873291,15.7411689758301,15.6437683105469,13.4632692337036,60,MYD88,IRAK1
TRUE,1.16572657792705,-4.23467826843262,Q8CH02,Q8CH02,SURP and G-patch domain-containing protein 1,Sugp1,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,NA,3,72.648,15,4,4,3,4,15.6981687545776,15.8378686904907,15.6615686416626,16.1767692565918,13.6738691329956,12.2608690261841,15.7037687301636,16.6024684906006,16.4366683959961,9.72940921783447,NA,12.0254688262939,15.960168838501,18.9356689453125,16.591968536377,16.3729686737061,60,MYD88,IRAK1
TRUE,1.57420063034762,4.67273235321045,Q8K1A6,Q8K1A6,Coiled-coil and C2 domain-containing protein 1A,Cc2d1a,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,NA,3,103.7,16,4,4,4,4,11.2114686965942,17.2367687225342,12.6466684341431,12.2425689697266,11.8804683685303,11.9466686248779,17.5508689880371,17.6595687866211,17.1668682098389,11.3782691955566,17.639368057251,17.1739692687988,10.0685691833496,12.5309686660767,11.7259683609009,10.3420391082764,60,MYD88,IRAK1
TRUE,3.13558420714273,2.57267427444458,Q8VDD5;Q91Z83;Q02566;P13541;A2AQP0,Q8VDD5,Myosin-9,Myh9,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,NA,155,226.37,16,4,4,4,4,25.5595684051514,25.4323692321777,26.029468536377,25.6496677398682,25.7635688781738,25.4616680145264,25.6607685089111,25.7069683074951,25.8985691070557,25.7320690155029,25.1145687103271,25.6234683990479,22.0724697113037,23.0892696380615,23.034969329834,23.8812694549561,60,MYD88,IRAK1
TRUE,2.37556332407058,-2.19875001907349,Q8VE37,Q8VE37,Regulator of chromosome condensation,Rcc1,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,NA,9,44.93,16,4,4,4,4,17.0866680145264,17.4778690338135,18.0841693878174,17.2909679412842,16.5868682861328,17.3201694488525,15.9369688034058,18.4833679199219,16.2077693939209,14.862868309021,16.3001689910889,15.1953687667847,17.2625694274902,18.745569229126,17.9307689666748,17.4222679138184,60,MYD88,IRAK1
TRUE,2.26287999612949,2.36262440681458,Q91WK0,Q91WK0,Leucine-rich repeat flightless-interacting protein 2,Lrrfip2,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,NA,9,47.147,16,4,4,4,4,18.7430686950684,19.2777690887451,19.185567855835,18.3957691192627,18.9469680786133,18.3094692230225,18.6817684173584,18.8152694702148,18.0857677459717,17.9194679260254,17.556568145752,18.1363677978516,14.2452688217163,15.4029684066772,15.717568397522,16.8818683624268,60,MYD88,IRAK1
TRUE,2.36658494022375,2.33764982223511,Q91YR1,Q91YR1,Twinfilin-1,Twf1,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,NA,7,40.079,16,4,4,4,4,17.4695682525635,17.4487686157227,18.4908676147461,17.9571685791016,17.7370681762695,17.1798686981201,17.0475692749023,17.0444679260254,16.7629680633545,16.7978687286377,16.8368682861328,17.9137687683105,13.9431686401367,14.1652688980103,14.9463682174683,15.9060688018799,60,MYD88,IRAK1
TRUE,1.69352625069456,2.30394816398621,Q91Z67;Q91Z69,Q91Z67,SLIT-ROBO Rho GTPase-activating protein 2,Srgap2,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,NA,3,120.8,15,4,4,4,3,12.1153688430786,12.5589685440063,12.5535688400269,13.0627689361572,10.7444686889648,10.7591390609741,10.7003688812256,11.1069688796997,11.0172691345215,12.1999683380127,10.8702688217163,12.0940685272217,8.73116874694824,NA,8.4498987197876,10.5432691574097,60,MYD88,IRAK1
