Significant,-LOG(P-value),Difference,Protein.IDs,Majority.protein.IDs,Protein.names,Gene.names,Potential.contaminant,Peptides,Valid.values,Valid.values.60.min,Valid.values.unstim,60.min.stim.FG159.neu,60.min.stim.FG160.neu,60.min.stim.FG161.neu,60.min.stim.FG162.neu,unstim.FG10.neu,unstim.FG11.neu,unstim.FG12.neu,unstim.FG9.neu,ORIGIN,PULLED_PROTEIN,KO
TRUE,0.910414746461163,-2.42372481028239,CON__Q01546,CON__Q01546,NA,NA,+,17,7,4,3,9.42720031738281,11.7838001251221,11.3234004974365,12.603099822998,13.8509998321533,11.4944000244141,NA,15.7789001464844,60,MYD88,NONE
TRUE,1.74187539620171,1.45352506637573,CON__Q1RMK2,CON__Q1RMK2,NA,NA,+,10,8,4,4,17.3775005340576,19.354700088501,18.3892993927002,18.3980007171631,17.1973991394043,17.2817001342773,16.3980007171631,16.8283004760742,60,MYD88,NONE
TRUE,3.00257990034827,1.56152534484863,CON__Q28107,CON__Q28107,NA,NA,+,24,8,4,4,15.6506004333496,16.850700378418,16.331600189209,16.5396003723145,14.7430000305176,14.9486999511719,14.6519002914429,14.7827997207642,60,MYD88,NONE
TRUE,2.08716397275956,1.64582490921021,CON__Q2UVX4,CON__Q2UVX4,NA,NA,+,10,8,4,4,12.3583002090454,13.3669996261597,13.1021003723145,12.9553003311157,10.7455005645752,11.378999710083,12.3078002929688,10.7671003341675,60,MYD88,NONE
TRUE,3.11959840641496,2.0003995895385698,CON__Q3SX09,CON__Q3SX09,NA,NA,+,4,8,4,4,16.3831005096436,17.3827991485596,16.7078990936279,16.2033996582031,14.3431997299194,15.0131998062134,14.3564004898071,14.9628000259399,60,MYD88,NONE
TRUE,4.23755389304872,3.62095022201538,CON__Q3SX14,CON__Q3SX14,NA,NA,+,25,8,4,4,19.2919006347656,20.5247993469238,20.114200592041,20.4540004730225,16.576099395752,16.4920997619629,15.8703002929688,16.9626007080078,60,MYD88,NONE
TRUE,3.58614382159404,1.89887571334839,CON__Q3ZBS7;P29788,CON__Q3ZBS7,NA,NA,+,8,8,4,4,18.1870994567871,19.2968997955322,18.619800567627,18.8521003723145,16.6424999237061,16.9445991516113,16.7435989379883,17.0296993255615,60,MYD88,NONE
TRUE,1.12075352238699,-1.42954993247986,CON__Q6IME9;Q6IME9;CON__Q14CN4-1,CON__Q6IME9;Q6IME9;CON__Q14CN4-1,"Keratin, type II cytoskeletal 72",Krt72,+,9,8,4,4,15.833399772644,18.1415996551514,16.2954998016357,17.8752002716064,18.8003997802734,17.4575996398926,18.972900390625,18.632999420166,60,MYD88,NONE
TRUE,1.67145975943526,-1.58375120162964,CON__Q8N1N4-2;CON__Q7RTT2,CON__Q8N1N4-2;CON__Q7RTT2,NA,NA,+,28,8,4,4,16.2724990844727,17.4937992095947,16.4655990600586,17.8990993499756,18.8267002105713,17.6550006866455,19.1201000213623,18.864200592041,60,MYD88,NONE
TRUE,4.84017623595097,-6.15648007392883,CON__Q9TRI1,CON__Q9TRI1,NA,NA,+,2,6,2,4,7.94441032409668,NA,7.91757965087891,NA,14.168999671936,13.6501998901367,14.101300239563,14.4294004440308,60,MYD88,NONE
TRUE,2.59432709128608,-2.0378749370575,D3YXK1,D3YXK1,Atherin,Samd1,NA,4,8,4,4,11.4607000350952,12.9253997802734,11.4558000564575,12.7250003814697,14.4913997650146,14.057900428772,14.1324996948242,14.036600112915,60,MYD88,NONE
TRUE,3.85629526375497,4.63262462615967,D3Z750,D3Z750,Maestro heat-like repeat-containing protein family member 2A,Mroh2a,NA,3,8,4,4,17.0478992462158,18.1438999176025,17.8677997589111,15.7976999282837,12.3893003463745,12.3891000747681,12.6361999511719,12.9121999740601,60,MYD88,NONE
TRUE,2.28975432997599,1.34892463684082,E9PVA8,E9PVA8,NA,Gcn1l1,NA,38,8,4,4,14.7175998687744,14.8438997268677,15.0128002166748,14.2167997360229,14.1070003509521,13.1195001602173,13.2650003433228,12.9039001464844,60,MYD88,NONE
TRUE,4.42778252301862,-2.07032537460327,E9PVX6,E9PVX6,NA,Mki67,NA,76,8,4,4,15.6246004104614,16.2183990478516,15.5565004348755,16.0893993377686,17.9937000274658,17.7154998779297,18.1781005859375,17.8829002380371,60,MYD88,NONE
TRUE,2.61679685539651,-1.58202457427979,E9PZJ8,E9PZJ8,Activating signal cointegrator 1 complex subunit 3,Ascc3,NA,58,8,4,4,15.2339000701904,14.7096996307373,15.722900390625,16.0277004241943,16.9179000854492,16.8036003112793,16.9226989746094,17.3780994415283,60,MYD88,NONE
TRUE,4.55822531792651,-6.14197444915771,E9Q286,E9Q286,Little elongation complex subunit 1,Ice1,NA,7,6,2,4,6.90610027313232,NA,7.58490085601807,NA,13.3751001358032,13.243800163269,13.7585000991821,13.1724996566772,60,MYD88,NONE
TRUE,2.58796541211732,1.19972149531046,E9Q394,E9Q394,NA,Akap13,NA,4,7,4,3,9.40740013122559,10.1145696640015,10.0953998565674,9.61777019500732,8.70765018463135,8.48620986938477,NA,8.63333034515381,60,MYD88,NONE
TRUE,3.00640288800666,1.53845024108887,E9Q3L2,E9Q3L2,NA,Pi4ka,NA,31,8,4,4,14.6280002593994,15.5205001831055,15.3382005691528,15.5587005615234,13.9393997192383,13.4496002197266,13.5172004699707,13.9854001998901,60,MYD88,NONE
TRUE,2.85834018697673,-6.53296661376953,E9Q401,E9Q401,Ryanodine receptor 2,Ryr2,NA,2,6,3,3,9.41919994354248,10.9291000366211,9.54360008239746,NA,17.0506992340088,15.1633005142212,17.2768001556396,NA,60,MYD88,NONE
TRUE,3.10348454055672,-2.72759962081909,E9Q557,E9Q557,Desmoplakin,Dsp,NA,98,8,4,4,13.8501005172729,14.9758005142212,12.9236001968384,14.0096998214722,16.4071006774902,16.5160999298096,16.9090995788574,16.8372993469238,60,MYD88,NONE
TRUE,1.35728257033017,-1.31185817718506,E9Q5C9,E9Q5C9,NA,Nolc1,NA,6,7,3,4,NA,14.6934003829956,12.8842000961304,14.5110998153687,15.5573997497559,15.3463001251221,15.2574996948242,15.2045001983643,60,MYD88,NONE
TRUE,4.32361886418974,-2.15805053710938,E9Q5K9,E9Q5K9,YTH domain-containing protein 1,Ythdc1,NA,4,8,4,4,15.7677001953125,16.3498001098633,16.4011993408203,16.2899990081787,18.5006999969482,17.9162998199463,18.5279006958008,18.496000289917,60,MYD88,NONE
TRUE,4.55054161524394,2.33720016479492,E9Q634;P70248,E9Q634,Unconventional myosin-Ie,Myo1e,NA,49,8,4,4,22.3530006408691,23.17919921875,22.8073997497559,23.0697002410889,20.4482002258301,20.3045997619629,20.5618000030518,20.7458992004395,60,MYD88,NONE
TRUE,2.63281343783902,-1.38502478599548,E9Q784,E9Q784,NA,Zc3h13,NA,21,8,4,4,15.0404005050659,15.4028005599976,15.0510997772217,15.773699760437,16.949499130249,16.0739002227783,16.9650001525879,16.8197002410889,60,MYD88,NONE
TRUE,2.3982384946345,-3.97887976964315,E9Q7E2,E9Q7E2,NA,Arid2,NA,6,7,3,4,8.67259979248047,11.2017002105713,8.51266002655029,NA,13.3157997131348,12.8341999053955,13.52649974823,14.0882997512817,60,MYD88,NONE
TRUE,2.11432905765045,-1.5999743938446,E9Q7G0,E9Q7G0,NA,Numa1,NA,69,8,4,4,14.224100112915,15.8751001358032,14.8191003799438,15.8420000076294,16.7924995422363,16.6716003417969,16.8538990020752,16.8421993255615,60,MYD88,NONE
TRUE,5.87321259349442,-2.72992444038391,E9Q8D0,E9Q8D0,NA,Dnajc21,NA,8,8,4,4,14.3634004592896,14.8235998153687,14.8500003814697,14.4021005630493,17.3090000152588,17.4344997406006,17.422399520874,17.1928997039795,60,MYD88,NONE
TRUE,5.33503268842475,4.4297251701355,E9QAT4,E9QAT4,NA,Sec16a,NA,62,8,4,4,18.9521007537842,19.701099395752,19.5790004730225,20.0608005523682,14.6595001220703,15.3226003646851,15.1698999404907,15.4221000671387,60,MYD88,NONE
TRUE,4.54039778620434,-2.18542528152466,G3X9J0,G3X9J0,NA,Sipa1l3,NA,38,8,4,4,15.4450998306274,16.2315006256104,15.7470998764038,16.0918006896973,17.8931007385254,17.9687004089355,18.1956005096436,18.199800491333,60,MYD88,NONE
TRUE,1.36988672167321,-1.55237483978271,G3XA57,G3XA57,Rab11 family-interacting protein 2,Rab11fip2,NA,3,6,2,4,10.6983003616333,NA,NA,11.7476997375488,12.7437000274658,12.023699760437,13.3543996810913,12.979700088501,60,MYD88,NONE
TRUE,2.60657741379648,-1.21997499465942,G5E870,G5E870,E3 ubiquitin-protein ligase TRIP12,Trip12,NA,46,8,4,4,15.7423000335693,16.5452995300293,16.0130996704102,16.7882995605469,17.3836994171143,17.4409999847412,17.5506992340088,17.5935001373291,60,MYD88,NONE
TRUE,3.03465111833617,-1.89419937133789,G5E8B9,G5E8B9,NA,Zbtb11,NA,16,8,4,4,14.5109996795654,14.9575004577637,15.0346002578735,15.6332998275757,16.7217998504639,16.7087993621826,16.7192993164063,17.5632991790771,60,MYD88,NONE
TRUE,3.11666784250768,2.05052471160889,O08553;Q62188,O08553,Dihydropyrimidinase-related protein 2,Dpysl2,NA,14,8,4,4,17.3755989074707,18.0702991485596,17.5793991088867,18.3176002502441,15.9131002426147,15.9167995452881,15.0847997665405,16.2260990142822,60,MYD88,NONE
TRUE,5.03921621990461,-2.35954999923706,O08583,O08583,THO complex subunit 4,Alyref,NA,11,8,4,4,19.9144992828369,20.5391998291016,19.9444007873535,20.1609001159668,22.4382991790771,22.699800491333,22.2714996337891,22.5876007080078,60,MYD88,NONE
TRUE,3.86169388698903,-2.14977526664734,O08663,O08663,Methionine aminopeptidase 2,Metap2,NA,13,8,4,4,15.7298002243042,16.665699005127,15.7616004943848,15.8022003173828,18.1396007537842,17.8701992034912,18.4015007019043,18.1471004486084,60,MYD88,NONE
TRUE,1.35765461564477,1.33281715710958,O08759,O08759,Ubiquitin-protein ligase E3A,Ube3a,NA,7,7,4,3,13.4737005233765,14.4973001480103,13.7040004730225,14.0808000564575,11.7793998718262,13.5160999298096,NA,12.5228996276855,60,MYD88,NONE
TRUE,2.56176679540275,1.13662576675415,O08807,O08807,Peroxiredoxin-4,Prdx4,NA,7,8,4,4,18.6147994995117,19.1072006225586,18.4188003540039,19.4160995483398,17.7115993499756,17.6434993743896,17.7943992614746,17.8608989715576,60,MYD88,NONE
TRUE,2.26637627641738,-1.26057577133179,O08810,O08810,116 kDa U5 small nuclear ribonucleoprotein component,Eftud2,NA,45,8,4,4,18.2780990600586,19.175199508667,18.705099105835,19.5349998474121,20.1833000183105,19.8607997894287,20.3334999084473,20.3581008911133,60,MYD88,NONE
TRUE,0.862554015080284,-2.69118611017863,O08848,O08848,60 kDa SS-A/Ro ribonucleoprotein,Trove2,NA,4,5,3,2,7.74609088897705,NA,10.8245000839233,10.6763000488281,NA,11.9990997314453,NA,12.881199836731,60,MYD88,NONE
TRUE,1.82080424183938,-1.18754975001017,O08992,O08992,Syntenin-1,Sdcbp,NA,4,7,3,4,15.4507999420166,NA,16.3360004425049,15.5451002120972,17.3727989196777,16.4475002288818,17.0750007629395,16.9640998840332,60,MYD88,NONE
TRUE,4.03011149516941,-1.56029987335205,O09167,O09167,60S ribosomal protein L21,Rpl21,NA,7,8,4,4,23.536600112915,23.8132991790771,23.9428005218506,23.8504009246826,25.0506992340088,25.1417007446289,25.596700668335,25.5951995849609,60,MYD88,NONE
TRUE,2.92791777669382,-3.06912779808044,O35071;P33173;Q60575;Q80TF6,O35071,Kinesin-like protein KIF1C,Kif1c,NA,9,8,4,4,11.7569999694824,10.9554996490479,12.2129001617432,10.006890296936,14.6203002929688,13.9119005203247,14.7391004562378,13.9375,60,MYD88,NONE
TRUE,2.56966721330538,-1.21449899673462,O35129,O35129,Prohibitin-2,Phb2,NA,14,8,4,4,16.7959003448486,16.9069004058838,17.6856994628906,16.5977001190186,18.2421989440918,18.1066989898682,18.1089992523193,18.3862991333008,60,MYD88,NONE
TRUE,1.72119898898292,-1.16122531890869,O35130,O35130,Ribosomal RNA small subunit methyltransferase NEP1,Emg1,NA,15,8,4,4,18.7952995300293,18.8882999420166,18.7355003356934,20.1965999603271,20.1284999847412,20.1394996643066,20.449800491333,20.5428009033203,60,MYD88,NONE
TRUE,3.63380714148957,-3.51919960975647,O35134,O35134,DNA-directed RNA polymerase I subunit RPA1,Polr1a,NA,27,8,4,4,11.5295000076294,12.7086000442505,12.0480003356934,13.1465997695923,16.2731990814209,15.0732002258301,15.9762001037598,16.1868991851807,60,MYD88,NONE
TRUE,2.1443952914693,-1.16622543334961,O35286,O35286,Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15,Dhx15,NA,45,8,4,4,19.4193992614746,19.9911994934082,20.1954002380371,20.8050994873047,21.3250999450684,21.0944004058838,21.301700592041,21.3547992706299,60,MYD88,NONE
TRUE,3.65659808920469,-1.39289951324463,O35295,O35295,Transcriptional activator protein Pur-beta,Purb,NA,11,8,4,4,20.8609008789063,21.0837001800537,21.0244007110596,20.7828998565674,22.2059001922607,22.0090999603271,22.774299621582,22.3341999053955,60,MYD88,NONE
TRUE,0.74756027645548,-2.33350793520609,O35344,O35344,Importin subunit alpha-4,Kpna3,NA,9,7,3,4,15.0146999359131,10.3509502410889,15.657600402832,NA,15.0097999572754,15.5327997207642,16.6331996917725,16.855899810791,60,MYD88,NONE
TRUE,3.14855740343942,1.78920006752014,O35350,O35350,Calpain-1 catalytic subunit,Capn1,NA,13,8,4,4,15.9503002166748,16.2255992889404,15.844500541687,15.6174001693726,14.0595998764038,13.605899810791,14.81130027771,14.0041999816895,60,MYD88,NONE
TRUE,3.90260509398369,-1.34067535400391,O35492,O35492,Dual specificity protein kinase CLK3,Clk3,NA,13,8,4,4,16.8778991699219,17.0401992797852,17.1725997924805,17.4822998046875,18.5012989044189,18.2455005645752,18.5457992553711,18.6431007385254,60,MYD88,NONE
TRUE,1.36098601802501,1.25009195009867,O35643,O35643,AP-1 complex subunit beta-1,Ap1b1,NA,16,7,4,3,14.2207002639771,12.6731004714966,13.2362003326416,14.2461004257202,12.5406999588013,NA,12.1921005249023,12.298999786377,60,MYD88,NONE
TRUE,3.19410187084091,3.40116691589355,O35658,O35658,"Complement component 1 Q subcomponent-binding protein, mitochondrial",C1qbp,NA,3,6,3,3,14.917799949646,15.3619003295898,NA,15.9468002319336,12.1676998138428,NA,11.6352996826172,12.2200002670288,60,MYD88,NONE
TRUE,4.03794866785524,4.13179993629456,O35682,O35682,Myeloid-associated differentiation marker,Myadm,NA,4,8,4,4,18.117000579834,19.7231006622314,18.6107006072998,18.748498916626,14.146900177002,14.2265005111694,14.9035005569458,15.3951997756958,60,MYD88,NONE
TRUE,2.03182455306959,-1.2295994758606,O35737,O35737,"Heterogeneous nuclear ribonucleoprotein H;Heterogeneous nuclear ribonucleoprotein H, N-terminally processed",Hnrnph1,NA,19,8,4,4,22.0044002532959,23.0976009368896,22.2429008483887,23.2427997589111,23.8197994232178,23.6476993560791,24.1713008880615,23.8673000335693,60,MYD88,NONE
TRUE,1.63825067459567,-2.31216669082642,O35841,O35841,Apoptosis inhibitor 5,Api5,NA,3,7,4,3,12.66100025177,11.1833000183105,13.5671997070313,11.432900428772,15.1895999908447,14.2153005599976,14.1648998260498,NA,60,MYD88,NONE
TRUE,4.04443307344206,-1.70357465744019,O35892,O35892,Nuclear autoantigen Sp-100,Sp100,NA,6,8,4,4,14.2904005050659,14.0357999801636,14.7964000701904,14.6848001480103,16.1770992279053,16.2045001983643,16.2418003082275,15.9982995986938,60,MYD88,NONE
TRUE,2.12779705505192,1.29917478561401,O54734,O54734,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit,Ddost,NA,12,8,4,4,16.889799118042,17.99049949646,17.6837005615234,17.6760997772217,16.6515998840332,15.6735000610352,16.1233005523682,16.5949993133545,60,MYD88,NONE
TRUE,1.74067748259678,-2.02072477340698,O54774,O54774,AP-3 complex subunit delta-1,Ap3d1,NA,19,8,4,4,12.4951000213623,13.2793998718262,14.7361001968384,14.8071002960205,15.1196002960205,15.9166994094849,15.9470996856689,16.417200088501,60,MYD88,NONE
TRUE,3.08027582016857,-2.18509984016418,O54784;Q8VDF3,O54784,Death-associated protein kinase 3,Dapk3,NA,8,8,4,4,13.6559000015259,14.2672996520996,14.4081001281738,13.4279003143311,15.9502000808716,15.4805002212524,16.698299407959,16.3705997467041,60,MYD88,NONE
TRUE,3.72408774302041,3.25767469406128,O54824,O54824,Pro-interleukin-16;Interleukin-16,Il16,NA,19,8,4,4,17.3554992675781,18.4503993988037,18.2092990875244,18.1485004425049,14.243800163269,14.5418996810913,15.7237997055054,14.6234998703003,60,MYD88,NONE
TRUE,4.73682790960906,-3.34159922599792,O54825,O54825,Bystin,Bysl,NA,13,8,4,4,15.0075998306274,15.640100479126,14.5867004394531,15.6951999664307,18.6047992706299,18.4121990203857,18.7250003814697,18.5539989471436,60,MYD88,NONE
TRUE,1.76778643120349,1.40562510490417,O54833,O54833,Casein kinase II subunit alpha,Csnk2a2,NA,11,8,4,4,17.1180000305176,18.0265007019043,16.8689994812012,17.7224998474121,15.2615003585815,16.4449005126953,15.6823997497559,16.7246990203857,60,MYD88,NONE
TRUE,4.13430760323199,-4.76139974594116,O54836,O54836,Zinc finger matrin-type protein 3,Zmat3,NA,6,8,4,4,12.8035001754761,14.1171998977661,12.104100227356,13.719500541687,18.1865997314453,17.6380004882813,18.3904991149902,17.574800491333,60,MYD88,NONE
TRUE,2.54434799630716,-1.14820003509521,O54946;Q9QYI8,O54946,DnaJ homolog subfamily B member 6,Dnajb6,NA,8,8,4,4,15.5093002319336,16.0578994750977,15.4916000366211,16.3309993743896,17.2411994934082,16.6961002349854,17.0569000244141,16.9883995056152,60,MYD88,NONE
TRUE,2.67278759816072,1.74760007858276,O55023,O55023,Inositol monophosphatase 1,Impa1,NA,7,8,4,4,16.7148990631104,17.2800998687744,16.5876007080078,17.5694007873535,15.9652996063232,15.2462997436523,15.1744003295898,14.7756004333496,60,MYD88,NONE
