Significant,-LOG(P-value),Difference,T:.Protein.IDs,T:.Majority.protein.IDs,T:.Protein.names,T:.Gene.names,Symbol.color,Symbol.type,Symbol.size,Show.label,C:.Only.identified.by.site,C:.Reverse,C:.Potential.contami1000t,N:.Peptides,N:.Mol..weight.[kDa],N:.Valid.values,N:.Valid.values.60.min,N:.Valid.values.unstim,60.min.FG199.neu,60.min.FG200.neu,60.min.FG201.neu,60.min.FG202.neu,unstim.FG196.neu,unstim.FG197.neu,unstim.FG198.neu,ORIGIN,PULLED_PROTEIN,KO
TRUE,1.14601051313869,-1.89505378405253,G5E870,G5E870,E3 ubiquitin-protein ligase TRIP12,Trip12,Color2 [DarkGray],1,4,NA,NA,NA,NA,4,224.13,8,4,4,9.85403060913086,8.72677040100098,8.75076007843018,8.86968994140625,10.0609998703003,12.7785997390747,9.99650001525879,60,IRAK1,NONE
TRUE,1.57581863198968,-2.02325836817423,O08759,O08759,Ubiquitin-protein ligase E3A,Ube3a,Color2 [DarkGray],1,4,NA,NA,NA,NA,4,99.818,8,4,4,11.4586000442505,11.3620004653931,11.7170000076294,12.0222997665405,14.1654996871948,14.6343002319336,12.1899003982544,60,IRAK1,NONE
TRUE,1.72359101519202,-2.65228390693665,O08784,O08784,Treacle protein,Tcof1,Color2 [DarkGray],1,4,NA,NA,NA,NA,27,135,8,4,4,16.1000995635986,15.109299659729,15.5120000839233,15.6932001113892,18.6021003723145,19.5790004730225,16.5867004394531,60,IRAK1,NONE
TRUE,1.51192961026853,-1.94323833783468,O08788,O08788,Dynactin subunit 1,Dctn1,Color2 [DarkGray],1,4,NA,NA,NA,NA,6,141.67,8,4,4,10.0476703643799,9.75174999237061,9.45466041564941,11.3938999176025,12.4853000640869,12.6983003616333,11.1321001052856,60,IRAK1,NONE
TRUE,1.56647682338452,-2.02531719207764,O08810,O08810,116 kDa U5 small nuclear ribonucleoprotein component,Eftud2,Color2 [DarkGray],1,4,NA,NA,NA,NA,18,109.36,8,4,4,14.7126998901367,15.0777997970581,14.474100112915,15.0087995529175,16.8701000213623,18.1431007385254,15.5178003311157,60,IRAK1,NONE
TRUE,2.11409765004523,-1.73187478383382,O09167,O09167,60S ribosomal protein L21,Rpl21,Color2 [DarkGray],1,4,NA,NA,NA,NA,3,18.562,8,4,4,15.2976999282837,14.730899810791,15.2896995544434,15.5665998458862,17.2215995788574,17.4932994842529,16.1443996429443,60,IRAK1,NONE
TRUE,1.7411533026761,-3.42650810877482,O35286,O35286,Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15,Dhx15,Color2 [DarkGray],1,4,NA,NA,NA,NA,16,91.006,8,4,4,13.6016998291016,14.145899772644,13.1008005142212,14.0725002288818,16.8045997619629,19.2749996185303,15.3906002044678,60,IRAK1,NONE
TRUE,1.44143288186496,-2.81888294219971,O35343,O35343,Importin subunit alpha-3,Kpna4,Color2 [DarkGray],1,4,NA,NA,NA,NA,5,57.922,8,4,4,11.612099647522,10.9551000595093,11.0724000930786,11.5558004379272,15.2160997390747,15.342399597168,11.7946996688843,60,IRAK1,NONE
TRUE,1.24234188943479,-3.0339081287384,O35344,O35344,Importin subunit alpha-4,Kpna3,Color2 [DarkGray],1,4,NA,NA,NA,NA,9,57.772,8,4,4,13.7300996780396,11.8955001831055,11.8875999450684,12.3393001556396,15.4061002731323,17.8610992431641,13.2238998413086,60,IRAK1,NONE
TRUE,1.70467026495664,-1.481041431427,O35350,O35350,Calpain-1 catalytic subunit,Capn1,Color2 [DarkGray],1,4,NA,NA,NA,NA,4,82.105,8,4,4,11.7797002792358,11.0662002563477,10.7574996948242,11.8599004745483,12.9520998001099,13.4093999862671,12.1791000366211,60,IRAK1,NONE
TRUE,1.43165179629071,-3.41815908749898,O35368,O35368,Interferon-activable protein 203,Ifi203,Color2 [DarkGray],1,4,NA,NA,NA,NA,4,46.299,8,4,4,13.6710996627808,10.66100025177,10.3272304534912,13.2911005020142,16.0370998382568,16.2996006011963,13.8805999755859,60,IRAK1,NONE
TRUE,1.40518408949687,-1.64210001627604,O35654,O35654,DNA polymerase delta subunit 2,Pold2,Color2 [DarkGray],1,4,NA,NA,NA,NA,2,51.354,5,2,3,NA,11.3551998138428,NA,11.8451995849609,13.4470996856689,13.690899848938,12.5888996124268,60,IRAK1,NONE
TRUE,1.78379255463351,-1.69812496503194,O35691,O35691,Pinin,Pnn,Color2 [DarkGray],1,4,NA,NA,NA,NA,2,82.435,8,4,4,10.5483999252319,11.2686004638672,11.0333003997803,11.5956001281738,12.4650001525879,13.7581005096436,12.2056999206543,60,IRAK1,NONE
TRUE,2.12009890423188,-5.5328323841095,O54774,O54774,AP-3 complex subunit delta-1,Ap3d1,Color2 [DarkGray],1,4,NA,NA,NA,NA,18,135.08,8,4,4,11.3865003585815,9.15100002288818,9.41847038269043,9.37390041351318,15.6627998352051,17.5272006988525,12.9059000015259,60,IRAK1,NONE
TRUE,1.61163639750299,-4.10331161816915,O54825,O54825,Bystin,Bysl,Color2 [DarkGray],1,4,NA,NA,NA,NA,7,49.783,8,4,4,10.5438003540039,8.89486026763916,9.75916004180908,10.8375997543335,14.7150001525879,16.2005996704102,11.4209003448486,60,IRAK1,NONE
TRUE,1.54689986815079,-3.38089990615845,O54826,O54826,Protein AF-10,Mllt10,Color2 [DarkGray],1,4,NA,NA,NA,NA,3,113.03,4,2,2,NA,11.6230001449585,10.6977996826172,NA,14.1879997253418,14.8945999145508,NA,60,IRAK1,NONE
TRUE,1.30443796755462,-1.8705582618713399,O54833,O54833,Casein kinase II subunit alpha,Csnk2a2,Color2 [DarkGray],1,4,NA,NA,NA,NA,4,41.215,8,4,4,12.9237003326416,12.3701000213623,12.6342000961304,13.0586996078491,13.671199798584,16.2924003601074,13.8880996704102,60,IRAK1,NONE
TRUE,1.65653393302082,-4.26018381118774,O54879,O54879,High mobility group protein B3,Hmgb3,Color2 [DarkGray],1,4,NA,NA,NA,NA,5,23.01,8,4,4,13.2583999633789,14.7908000946045,14.4351997375488,14.9930000305176,18.9001007080078,21.0023002624512,15.9862003326416,60,IRAK1,NONE
TRUE,1.76932716821105,-1.44830846786499,O55131;Q9DA97;Q8C650,O55131,Septin-7,44446,Color2 [DarkGray],1,4,NA,NA,NA,NA,3,50.549,8,4,4,13.2146997451782,13.0939998626709,12.483699798584,13.1673002243042,13.9507999420166,15.2941999435425,14.0697002410889,60,IRAK1,NONE
TRUE,1.40391842066433,-3.52456442515055,O55187,O55187,E3 SUMO-protein ligase CBX4,Cbx4,Color2 [DarkGray],1,4,NA,NA,NA,NA,3,60.522,6,2,4,8.5918607711792,NA,NA,9.89901065826416,13.2075004577637,13.6709003448486,11.4315996170044,60,IRAK1,NONE
TRUE,2.92751047454378,-1.81039969126383,O70152,O70152,Dolichol-phosphate mannosyltransferase subunit 1,Dpm1,Color2 [DarkGray],1,4,NA,NA,NA,NA,2,29.174,7,3,4,11.9252996444702,11.576000213623,NA,11.8603000640869,13.8262996673584,13.7496995925903,13.2167997360229,60,IRAK1,NONE
TRUE,1.46624359417004,-1.80394164721171,O70194,O70194,Eukaryotic translation initiation factor 3 subunit D,Eif3d,Color2 [DarkGray],1,4,NA,NA,NA,NA,11,63.988,8,4,4,13.7419996261597,13.5190000534058,13.5549001693726,14.0673999786377,14.9340000152588,16.9661998748779,14.6740999221802,60,IRAK1,NONE
TRUE,0.971404577238118,-2.37961109479268,O70551,O70551,SRSF protein kinase 1,Srpk1,Color2 [DarkGray],1,4,NA,NA,NA,NA,4,73.088,8,4,4,10.6477003097534,10.5840997695923,10.835599899292,8.94509029388428,12.9461002349854,14.7262001037598,10.2259006500244,60,IRAK1,NONE
TRUE,1.33022874581287,-1.76910018920898,O88665,O88665,Bromodomain-containing protein 7,Brd7,Color2 [DarkGray],1,4,NA,NA,NA,NA,4,73.999,8,4,4,13.2180995941162,13.5102996826172,14.0631999969482,14.5648002624512,15.9373998641968,16.5960998535156,14.2911005020142,60,IRAK1,NONE
TRUE,2.26704202105371,-1.83778317769369,O88685,O88685,26S protease regulatory subunit 6A,Psmc3,Color2 [DarkGray],1,4,NA,NA,NA,NA,6,49.548,8,4,4,13.0086002349854,12.809100151062,12.53480052948,13.2509002685547,15.226300239563,15.0802001953125,13.9093999862671,60,IRAK1,NONE
TRUE,1.65038298973932,-4.23318004608154,O88874,O88874,Cyclin-K,Ccnk,Color2 [DarkGray],1,4,NA,NA,NA,NA,7,61.363,7,3,4,12.0090999603271,NA,10.4531602859497,11.0973997116089,15.7213001251221,17.1194000244141,13.4184999465942,60,IRAK1,NONE
TRUE,2.56700011980772,-1.27169148127238,P01901;P14426;P04223,P01901;P14426;P04223,"H-2 class I histocompatibility antigen, K-B alpha chain;H-2 class I histocompatibility antigen, D-K alpha chain;H-2 class I histocompatibility antigen, K-K alpha chain",H2-K1;H2-D1,Color2 [DarkGray],1,4,NA,NA,NA,NA,3,41.301,8,4,4,13.7267999649048,13.4898996353149,13.4274997711182,12.8276996612549,14.5565996170044,14.7461996078491,14.6161994934082,60,IRAK1,NONE
TRUE,2.11795847835865,-1.27006657918294,P04104,P04104,"Keratin, type II cytoskeletal 1",Krt1,Color2 [DarkGray],1,4,NA,NA,NA,NA,7,65.605,7,3,4,13.1440000534058,13.5755004882813,NA,13.7287998199463,14.792200088501,15.0530996322632,14.413200378418,60,IRAK1,NONE
TRUE,3.11005640673824,-1.27346611022949,P06151;P00342,P06151,L-lactate dehydrogenase A chain,Ldha,Color2 [DarkGray],1,4,NA,NA,NA,NA,12,36.498,8,4,4,20.048999786377,20.3372993469238,20.0179004669189,20.0398006439209,21.2614994049072,21.7395992279053,21.1522998809814,60,IRAK1,NONE
TRUE,2.8109461394106,-1.81342498461405,P07742,P07742,Ribonucleoside-diphosphate reductase large subunit,Rrm1,Color2 [DarkGray],1,4,NA,NA,NA,NA,2,90.209,8,4,4,11.8425998687744,10.9765005111694,11.3508996963501,11.2090997695923,13.2402000427246,13.5117998123169,12.7225999832153,60,IRAK1,NONE
TRUE,1.87174856620744,-1.30099089940389,P10107,P10107,Annexin A1,Anxa1,Color2 [DarkGray],1,4,NA,NA,NA,NA,9,38.734,8,4,4,15.5745000839233,15.3021001815796,15.149299621582,15.4048004150391,17.4508991241455,16.2537994384766,16.2712993621826,60,IRAK1,NONE
TRUE,2.13696709547663,-3.25512456893921,P10922,P10922,"Histone H1.0;Histone H1.0, N-terminally processed",H1f0,Color2 [DarkGray],1,4,NA,NA,NA,NA,6,20.861,8,4,4,17.6011009216309,17.4426002502441,17.3309993743896,18.5676002502441,21.5058994293213,22.0410003662109,19.425199508667,60,IRAK1,NONE
TRUE,2.24322632433858,-4.09707466761271,P11031,P11031,Activated RNA polymerase II transcriptional coactivator p15,Sub1,Color2 [DarkGray],1,4,NA,NA,NA,NA,5,14.427,8,4,4,17.6937999725342,18.1937999725342,18.4570007324219,19.9279003143311,22.8976993560791,23.9419002532959,21.1560001373291,60,IRAK1,NONE
TRUE,1.79177962543415,-1.84079138437907,P11103,P11103,Poly [ADP-ribose] polymerase 1,Parp1,Color2 [DarkGray],1,4,NA,NA,NA,NA,17,113.1,8,4,4,14.4243001937866,14.6695003509521,14.7125997543335,13.9435005187988,16.4526996612549,17.1574001312256,15.2246999740601,60,IRAK1,NONE
TRUE,1.38948345340123,-1.6034251054128,P11440;Q80YP0;P97377,P11440,Cyclin-dependent kinase 1,Cdk1,Color2 [DarkGray],1,4,NA,NA,NA,NA,4,34.106,8,4,4,11.4084997177124,12.559700012207,11.0207004547119,12.4589996337891,13.7493000030518,14.0506000518799,12.5963001251221,60,IRAK1,NONE
TRUE,2.06659154984079,-1.89008935292562,P12367;P31324,P12367;P31324,cAMP-dependent protein kinase type II-alpha regulatory subunit;cAMP-dependent protein kinase type II-beta regulatory subunit,Prkar2a;Prkar2b,Color2 [DarkGray],1,4,NA,NA,NA,NA,2,45.389,7,3,4,10.5502004623413,9.37653064727783,10.4825000762939,NA,11.8313999176025,12.1401996612549,12.1078996658325,60,IRAK1,NONE
TRUE,2.35956735946787,-1.38463322321574,P12382,P12382,"ATP-dependent 6-phosphofructokinase, liver type",Pfkl,Color2 [DarkGray],1,4,NA,NA,NA,NA,11,85.359,8,4,4,15.0326995849609,15.3191003799438,14.8084001541138,15.461799621582,16.3850994110107,17.0562000274658,16.1791000366211,60,IRAK1,NONE
TRUE,1.50755032635852,-2.48525778452555,P14131,P14131,40S ribosomal protein S16,Rps16,Color2 [DarkGray],1,4,NA,NA,NA,NA,7,16.445,8,4,4,19.4612007141113,18.8152008056641,19.3152008056641,20.029899597168,22.4806995391846,23.1319999694824,20.0592002868652,60,IRAK1,NONE
TRUE,1.43674864062326,-2.30889940261841,P15864,P15864,Histone H1.2,Hist1h1c,Color2 [DarkGray],1,4,NA,NA,NA,NA,10,21.266,8,4,4,18.2369003295898,17.7073001861572,17.5503005981445,18.1198997497559,20.8279991149902,21.455099105835,18.3544006347656,60,IRAK1,NONE
TRUE,2.45896953089825,-1.87916612625122,P16125,P16125,L-lactate dehydrogenase B chain,Ldhb,Color2 [DarkGray],1,4,NA,NA,NA,NA,7,36.572,8,4,4,15.0876998901367,14.9539995193481,15.0694999694824,14.8559999465942,16.908899307251,17.5879993438721,16.1159992218018,60,IRAK1,NONE
TRUE,1.94493795094741,-4.47020824750264,P16254,P16254,"Signal recognition particle 14 kDa protein;Signal recognition particle 14 kDa protein, N-terminally processed",Srp14,Color2 [DarkGray],1,4,NA,NA,NA,NA,5,12.51,8,4,4,14.9946994781494,14.0459003448486,14.2653999328613,14.9973001480103,19.667200088501,20.9629001617432,16.507999420166,60,IRAK1,NONE
TRUE,1.71079046316185,-1.57786671320597,P18155,P18155,"Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial;NAD-dependent methylenetetrahydrofolate dehydrogenase;Methenyltetrahydrofolate cyclohydrolase",Mthfd2,Color2 [DarkGray],1,4,NA,NA,NA,NA,2,37.863,8,4,4,12.1754999160767,11.7862005233765,10.9077997207642,12.3569002151489,13.5989999771118,13.7972002029419,12.7572002410889,60,IRAK1,NONE
TRUE,1.94440926425884,-1.5401086807251,P20029,P20029,78 kDa glucose-regulated protein,Hspa5,Color2 [DarkGray],1,4,NA,NA,NA,NA,21,72.421,8,4,4,17.9472999572754,17.576099395752,17.7227001190186,18.0492000579834,19.6788997650146,19.9302005767822,18.4827003479004,60,IRAK1,NONE
TRUE,1.94752925481947,-1.90726661682129,P23116,P23116,Eukaryotic translation initiation factor 3 subunit A,Eif3a,Color2 [DarkGray],1,4,NA,NA,NA,NA,9,161.93,8,4,4,12.4792003631592,11.9877004623413,11.0980997085571,11.6373996734619,13.520299911499,14.4981002807617,13.1051998138428,60,IRAK1,NONE
TRUE,1.27935766260523,-2.83138330777486,P23506,P23506,Protein-L-isoaspartate(D-aspartate) O-methyltransferase,Pcmt1,Color2 [DarkGray],1,4,NA,NA,NA,NA,6,24.634,8,4,4,12.2096996307373,10.4673004150391,11.4764003753662,11.6780004501343,12.6324005126953,16.7028999328613,13.5324001312256,60,IRAK1,NONE
TRUE,2.2374078468399,-4.17683331171672,P24369,P24369,Peptidyl-prolyl cis-trans isomerase B,Ppib,Color2 [DarkGray],1,4,NA,NA,NA,NA,11,23.713,8,4,4,18.816499710083,18.4773998260498,17.9752006530762,19.3201007843018,23.2411003112793,24.3206996917725,20.9106006622314,60,IRAK1,NONE
TRUE,2.84403368018461,-1.29325787226359,P24547,P24547,Inosine-5-monophosphate dehydrogenase 2,Impdh2,Color2 [DarkGray],1,4,NA,NA,NA,NA,11,55.814,8,4,4,16.3761005401611,16.0452003479004,16.0053997039795,16.4060001373291,17.3519992828369,17.8820991516113,17.2702007293701,60,IRAK1,NONE
TRUE,1.95861878707054,-3.8035085995992,P24788,P24788,Cyclin-dependent kinase 11B,Cdk11b,Color2 [DarkGray],1,4,NA,NA,NA,NA,21,91.512,8,4,4,14.9491996765137,13.8751001358032,13.9027004241943,14.5171003341675,18.4333000183105,19.8318004608154,16.0785007476807,60,IRAK1,NONE
TRUE,2.50533647612668,-1.3683918317159,P25206,P25206,DNA replication licensing factor MCM3,Mcm3,Color2 [DarkGray],1,4,NA,NA,NA,NA,23,91.545,8,4,4,15.3605995178223,15.4358997344971,15.4477996826172,15.2952003479004,16.7446002960205,17.2821998596191,16.2329998016357,60,IRAK1,NONE
TRUE,1.94064748141008,-1.69041633605957,P25444,P25444,40S ribosomal protein S2,Rps2,Color2 [DarkGray],1,4,NA,NA,NA,NA,7,31.231,8,4,4,17.2112007141113,16.6910991668701,17.2082004547119,17.2821006774902,19.1103992462158,19.4132995605469,17.8420009613037,60,IRAK1,NONE
TRUE,2.90505703850827,-1.90558290481567,P25976,P25976,Nucleolar transcription factor 1,Ubtf,Color2 [DarkGray],1,4,NA,NA,NA,NA,9,89.508,8,4,4,13.7911005020142,13.871600151062,13.8655996322632,14.4103002548218,16.3850994110107,15.8804998397827,15.4050998687744,60,IRAK1,NONE
TRUE,2.95600101252734,-2.36918314297994,P26040;P26043,P26040,Ezrin,Ezr,Color2 [DarkGray],1,4,NA,NA,NA,NA,4,69.406,8,4,4,11.9268999099731,12.476300239563,12.1563997268677,11.8782005310059,14.733699798584,14.9612998962402,13.7409000396729,60,IRAK1,NONE
TRUE,1.14725340686346,-2.53027661641439,P26041,P26041,Moesin,Msn,Color2 [DarkGray],1,4,NA,NA,NA,NA,6,67.766,7,3,4,10.1740703582764,10.4973001480103,NA,11.3948001861572,14.0032005310059,14.3650999069214,11.2887001037598,60,IRAK1,NONE
TRUE,1.84436026784245,-3.46558316548665,P26369,P26369,Splicing factor U2AF 65 kDa subunit,U2af2,Color2 [DarkGray],1,4,NA,NA,NA,NA,14,53.516,8,4,4,18.6707000732422,17.7453002929688,18.1777000427246,18.8745002746582,22.0343990325928,23.57200050354,19.8915004730225,60,IRAK1,NONE
TRUE,1.40850682753476,-3.80271339416504,P27048;P63163,P27048;P63163,Small nuclear ribonucleoprotein-associated protein B;Small nuclear ribonucleoprotein-associated protein N,Snrpb;Snrpn,Color2 [DarkGray],1,4,NA,NA,NA,NA,2,23.656,5,2,3,10.0695400238037,NA,NA,10.5426998138428,14.1612005233765,15.5136995315552,12.6515998840332,60,IRAK1,NONE
TRUE,1.42873460143629,-2.60036691029866,P27659,P27659,60S ribosomal protein L3,Rpl3,Color2 [DarkGray],1,4,NA,NA,NA,NA,9,46.109,8,4,4,15.3645000457764,13.0345001220703,14.6802997589111,12.3418998718262,16.5993995666504,17.2063007354736,15.56130027771,60,IRAK1,NONE
TRUE,1.68643997038626,-1.5150249004364,P27773,P27773,Protein disulfide-isomerase A3,Pdia3,Color2 [DarkGray],1,4,NA,NA,NA,NA,2,56.678,8,4,4,11.4956998825073,10.8098001480103,10.828800201416,11.041600227356,12.0504999160767,13.5453996658325,12.0811004638672,60,IRAK1,NONE
TRUE,1.67829712111985,-1.85368331273397,P27870,P27870,Proto-oncogene vav,Vav1,Color2 [DarkGray],1,4,NA,NA,NA,NA,9,98.136,8,4,4,12.8997001647949,13.6766996383667,12.8171997070313,13.2237997055054,15.3793001174927,15.8240995407104,13.8206996917725,60,IRAK1,NONE
TRUE,0.714777708577989,-3.80630000432332,P28352,P28352,"DNA-(apurinic or apyrimidinic site) lyase;DNA-(apurinic or apyrimidinic site) lyase, mitochondrial",Apex1,Color2 [DarkGray],1,4,NA,NA,NA,NA,4,35.49,6,2,4,12.0780000686646,NA,NA,11.4944000244141,16.5249004364014,18.0548000335693,12.1977996826172,60,IRAK1,NONE
TRUE,1.97528024020748,-4.21019124984741,P29351,P29351,Tyrosine-protein phosphatase non-receptor type 6,Ptpn6,Color2 [DarkGray],1,4,NA,NA,NA,NA,26,67.558,8,4,4,15.118200302124,14.1033000946045,14.0450000762939,15.1898002624512,19.1138000488281,20.7192001342773,16.639799118042,60,IRAK1,NONE
TRUE,2.90728553591788,-1.50904178619385,P29452,P29452,Caspase-1;Caspase-1 subunit p20;Caspase-1 subunit p10,Casp1,Color2 [DarkGray],1,4,NA,NA,NA,NA,4,45.64,8,4,4,12.2467002868652,12.6263999938965,12.6843996047974,12.3786001205444,14.0439004898071,14.3691997528076,13.5661001205444,60,IRAK1,NONE
TRUE,1.9173121697224,-4.38712549209595,P30681,P30681,High mobility group protein B2,Hmgb2,Color2 [DarkGray],1,4,NA,NA,NA,NA,7,24.162,8,4,4,19.0823993682861,18.013500213623,16.0755996704102,18.1007995605469,23.3714008331299,23.1023998260498,20.1417999267578,60,IRAK1,NONE
TRUE,1.88655451811171,-1.82611632347107,P31230,P31230,Aminoacyl tRNA synthase complex-interacting multifunctional protein 1;Endothelial monocyte-activating polypeptide 2,Aimp1,Color2 [DarkGray],1,4,NA,NA,NA,NA,5,33.997,8,4,4,14.0383996963501,12.4519004821777,14.0046997070313,13.1492004394531,15.3090000152588,15.5657997131348,14.8366994857788,60,IRAK1,NONE
TRUE,2.08130099246998,-1.923233350118,P31266,P31266,Recombining binding protein suppressor of hairless,Rbpj,Color2 [DarkGray],1,4,NA,NA,NA,NA,2,58.537,6,3,3,11.2216005325317,11.9527997970581,NA,11.6761999130249,NA,13.7259998321533,13.3542003631592,60,IRAK1,NONE
TRUE,1.38886651463621,-2.90004165967305,P32067,P32067,Lupus La protein homolog,Ssb,Color2 [DarkGray],1,4,NA,NA,NA,NA,8,47.756,8,4,4,13.3758001327515,12.9995002746582,12.789400100708,13.3833999633789,16.1434993743896,18.1443004608154,13.8234004974365,60,IRAK1,NONE
TRUE,1.85421670019117,-5.42649189631144,P32233,P32233,Developmentally-regulated GTP-binding protein 1,Drg1,Color2 [DarkGray],1,4,NA,NA,NA,NA,12,40.512,8,4,4,13.7617998123169,12.3017997741699,13.5710000991821,14.8064994812012,19.1826000213623,21.7234001159668,16.2042999267578,60,IRAK1,NONE
